slide1,slide2,slide3,slide4,slide5,slide6,slide7,slide8,slide9,slide10,slide11,slide12,slide13,slide14,slide15,slide16,mli_ident,position,grm_pos
20,5,16,19,27,41,18,15,19,18,14,5,18,16,32,45,nxph,inner,FALSE
31,8,18,30,24,43,34,20,33,37,16,6,20,27,29,45,nxph,middle,FALSE
25,7,7,17,28,14,23,11,25,23,8,4,9,17,29,15,nxph,distal,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nxph,inner,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nxph,middle,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nxph,distal,TRUE
2,4,0,1,0,0,4,1,2,5,0,2,0,0,3,2,sorcs,inner,FALSE
14,9,11,13,13,10,17,12,8,13,9,7,13,10,15,11,sorcs,middle,FALSE
17,7,19,27,26,9,44,26,38,46,19,5,22,21,30,11,sorcs,distal,FALSE
41,10,33,64,64,45,38,31,36,39,29,8,34,58,68,45,sorcs,inner,TRUE
37,6,18,26,25,8,43,25,37,45,18,4,21,20,29,10,sorcs,middle,TRUE
20,2,10,5,29,9,16,20,24,16,19,0,11,4,30,11,sorcs,distal,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nxph_sorcs,inner,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nxph_sorcs,middle,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nxph_sorcs,distal,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nxph_sorcs,inner,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nxph_sorcs,middle,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nxph_sorcs,distal,FALSE